order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount,cost_price,profit,order_year,order_month
O00159,2024-07-20,C0271,P0156,S055,In-Store,1,140.3,0.05,133.28,104.23,29.05,2024,July
O00160,2024-09-30,C0150,P0655,Online,Online,2,25.85,0.2,41.36,15.47,10.42,2024,September
O00161,2024-04-16,C0526,P0979,S007,In-Store,2,117.11,0.2,187.38,65.36,56.66,2024,April
O00162,2025-12-12,C0285,P0296,Online,Online,1,34.89,0.05,33.15,25.01,8.14,2025,December
O00163,2025-08-26,C0394,P0722,S027,In-Store,3,17.67,0.2,42.41,15.35,-3.64,2025,August
O00164,2025-01-22,C0423,P0682,Online,Online,1,197.42,0.05,187.55,130.65,56.9,2025,January
O00165,2025-03-27,C0562,P1018,S031,In-Store,2,167.01,0.05,317.32,129.58,58.16,2025,March
O00166,2024-07-14,C0594,P0863,S049,In-Store,1,109.7,0.05,104.22,72.06,32.16,2024,July
O00167,2025-07-15,C0240,P0740,Online,Online,3,149.47,0.0,448.41,110.35,117.36,2025,July
O00168,2024-09-29,C0485,P0273,S003,In-Store,3,125.14,0.1,337.88,85.9,80.18,2024,September
O00169,2025-01-02,C0797,P0285,Online,Online,1,86.63,0.05,82.3,74.63,7.67,2025,January
O00170,2025-07-18,C0564,P0862,Online,Online,1,105.88,0.05,100.59,85.38,15.21,2025,July
O00171,2025-04-09,C0141,P0240,S045,In-Store,2,85.49,0.05,162.43,52.45,57.53,2025,April
O00172,2024-07-05,C0026,P0869,S044,In-Store,1,216.72,0.0,216.72,171.43,45.29,2024,July
O00173,2025-01-08,C0075,P0976,S055,In-Store,1,290.2,0.05,275.69,146.74,128.95,2025,January
O00174,2025-08-04,C0374,P0289,Online,Online,2,17.32,0.0,34.64,13.54,7.56,2025,August
O00175,2025-12-12,C0426,P0306,S030,In-Store,1,148.17,0.05,140.76,102.31,38.45,2025,December
O00176,2025-10-19,C0715,P0613,S046,In-Store,1,316.84,0.1,285.16,194.29,90.87,2025,October
O00177,2025-09-22,C0660,P0027,Online,Online,1,236.79,0.05,224.95,189.64,35.31,2025,September
O00178,2025-03-21,C0657,P0065,S011,In-Store,1,103.15,0.05,97.99,57.03,40.96,2025,March
O00179,2024-11-11,C0433,P0930,S053,In-Store,3,201.43,0.1,543.86,135.99,135.89,2024,November
O00180,2025-08-15,C0513,P0626,S027,In-Store,1,352.02,0.05,334.42,184.56,149.86,2025,August
O00181,2024-05-09,C0094,P1068,S017,In-Store,2,222.82,0.05,423.36,121.13,181.1,2024,May
O00182,2025-04-07,C0410,P0114,Online,Online,1,291.58,0.05,277.0,148.09,128.91,2025,April
O00183,2025-03-24,C0572,P0158,S029,In-Store,1,106.61,0.2,85.29,58.87,26.42,2025,March
O00184,2025-09-02,C0657,P0829,S010,In-Store,2,244.31,0.0,488.62,170.36,147.9,2025,September
O00185,2025-04-15,C0662,P0868,Online,Online,2,207.53,0.0,415.06,131.45,152.16,2025,April
O00186,2024-06-15,C0371,P0687,Online,Online,2,207.29,0.1,373.12,163.92,45.28,2024,June
O00187,2025-12-12,C0109,P0133,Online,Online,2,50.24,0.0,100.48,28.1,44.28,2025,December
O00188,2024-08-18,C0316,P0384,S040,In-Store,1,35.44,0.0,35.44,22.73,12.71,2024,August
O00189,2025-11-15,C0087,P1167,S036,In-Store,1,55.44,0.2,44.35,27.8,16.55,2025,November
O00190,2024-10-09,C0322,P0190,S000,In-Store,1,232.24,0.1,209.02,136.2,72.82,2024,October
O00191,2025-02-09,C0407,P1024,Online,Online,1,22.98,0.2,18.38,15.49,2.89,2025,February
O00192,2025-09-16,C0132,P0199,S057,In-Store,4,115.92,0.0,463.68,58.8,228.48,2025,September
O00193,2024-10-08,C0793,P0307,Online,Online,3,184.0,0.2,441.6,142.29,14.73,2024,October
O00194,2025-04-27,C0038,P0594,Online,Online,1,9.3,0.2,7.44,7.22,0.22,2025,April
O00195,2024-12-03,C0640,P0191,S014,In-Store,1,208.21,0.05,197.8,136.59,61.21,2024,December
O00196,2024-07-10,C0669,P0288,S010,In-Store,2,281.92,0.1,507.46,144.63,218.2,2024,July
O00197,2025-02-18,C0134,P0694,Online,Online,2,156.82,0.2,250.91,89.41,72.09,2025,February
O00198,2025-03-04,C0729,P0793,Online,Online,2,273.34,0.0,546.68,166.17,214.34,2025,March
O00199,2025-01-03,C0580,P1018,Online,Online,1,167.01,0.0,167.01,129.58,37.43,2025,January
O00200,2025-02-01,C0316,P1120,S051,In-Store,1,146.64,0.0,146.64,124.35,22.29,2025,February
O00201,2024-10-11,C0465,P0642,Online,Online,2,258.83,0.1,465.89,171.06,123.77,2024,October
O00202,2025-09-09,C0286,P1180,S005,In-Store,2,89.37,0.0,178.74,47.06,84.62,2025,September
O00203,2025-06-05,C0790,P0943,Online,Online,1,181.12,0.2,144.9,104.17,40.73,2025,June
O00204,2024-12-11,C0781,P0905,S008,In-Store,1,138.07,0.0,138.07,108.67,29.4,2024,December
O00205,2025-10-14,C0499,P0081,S018,In-Store,1,102.43,0.2,81.94,60.34,21.6,2025,October
O00206,2025-08-26,C0634,P0264,S032,In-Store,2,69.39,0.1,124.9,40.26,44.38,2025,August
O00207,2025-03-27,C0698,P0846,S016,In-Store,4,257.54,0.0,1030.16,178.48,316.24,2025,March
O00208,2025-12-09,C0659,P0116,S015,In-Store,2,196.71,0.0,393.42,166.99,59.44,2025,December
O00209,2025-08-06,C0107,P0595,S036,In-Store,1,277.06,0.2,221.65,158.47,63.18,2025,August
O00210,2025-10-29,C0228,P0795,S042,In-Store,2,255.38,0.0,510.76,133.58,243.6,2025,October
O00211,2024-10-07,C0479,P1095,S029,In-Store,2,96.11,0.0,192.22,70.02,52.18,2024,October
O00212,2024-08-05,C0749,P0221,S059,In-Store,2,58.35,0.2,93.36,48.73,-4.1,2024,August
O00213,2024-12-07,C0204,P0822,S020,In-Store,2,79.83,0.1,143.69,55.27,33.15,2024,December
O00214,2025-12-31,C0497,P0435,S030,In-Store,4,254.88,0.0,1019.52,186.13,275.0,2025,December
O00215,2024-11-30,C0039,P1116,Online,Online,1,207.01,0.2,165.61,176.53,-10.92,2024,November
O00216,2024-06-28,C0218,P0655,S038,In-Store,2,25.85,0.2,41.36,15.47,10.42,2024,June
O00217,2025-11-24,C0370,P0880,S013,In-Store,1,166.53,0.0,166.53,97.2,69.33,2025,November
O00218,2025-02-16,C0023,P0866,Online,Online,2,64.96,0.05,123.42,36.84,49.74,2025,February
O00219,2024-11-20,C0070,P0560,S019,In-Store,1,59.02,0.2,47.22,33.92,13.3,2024,November
O00220,2025-05-20,C0537,P0438,S016,In-Store,1,270.3,0.05,256.79,193.94,62.85,2025,May
O00221,2025-01-19,C0094,P0877,S048,In-Store,1,238.06,0.1,214.25,179.66,34.59,2025,January
O00222,2025-12-01,C0357,P0858,S034,In-Store,2,309.56,0.05,588.16,195.12,197.92,2025,December
O00223,2025-03-18,C0447,P0726,S036,In-Store,2,268.98,0.2,430.37,185.66,59.05,2025,March
O00224,2025-07-20,C0574,P1016,Online,Online,1,321.0,0.05,304.95,186.81,118.14,2025,July
O00225,2025-11-21,C0751,P0648,Online,Online,2,240.95,0.2,385.52,137.75,110.02,2025,November
O00226,2024-10-05,C0511,P0648,Online,Online,1,240.95,0.2,192.76,137.75,55.01,2024,October
O00227,2024-06-04,C0739,P0007,S017,In-Store,1,276.22,0.05,262.41,166.73,95.68,2024,June
O00228,2025-01-15,C0654,P1184,Online,Online,1,32.67,0.05,31.04,22.25,8.79,2025,January
O00229,2025-08-30,C0192,P0860,S049,In-Store,1,179.4,0.05,170.43,107.07,63.36,2025,August
O00230,2024-11-02,C0221,P0712,Online,Online,4,124.0,0.05,471.2,108.42,37.52,2024,November
O00231,2025-04-03,C0590,P0029,S023,In-Store,2,37.24,0.0,74.48,28.6,17.28,2025,April
O00232,2025-04-03,C0314,P1028,S007,In-Store,1,233.27,0.2,186.62,189.75,-3.13,2025,April
O00233,2024-08-28,C0466,P0847,S022,In-Store,1,292.23,0.2,233.78,174.31,59.47,2024,August
O00234,2025-11-29,C0783,P0687,Online,Online,3,207.29,0.05,590.78,163.92,99.02,2025,November
O00235,2025-01-03,C0382,P0362,S010,In-Store,4,149.41,0.2,478.11,85.59,135.75,2025,January
O00236,2025-11-19,C0675,P0895,S044,In-Store,1,205.55,0.0,205.55,156.32,49.23,2025,November
O00237,2025-02-15,C0106,P0183,S039,In-Store,1,304.66,0.2,243.73,181.16,62.57,2025,February
O00238,2025-04-09,C0767,P1115,Online,Online,3,265.8,0.2,637.92,159.26,160.14,2025,April
O00239,2025-02-02,C0033,P0593,S013,In-Store,2,71.58,0.05,136.0,37.74,60.52,2025,February
O00240,2025-07-09,C0564,P0780,Online,Online,1,253.19,0.2,202.55,194.67,7.88,2025,July
O00241,2025-03-04,C0359,P0950,S052,In-Store,20,182.2,0.2,2915.2,106.54,784.4,2025,March
O00242,2025-04-10,C0383,P0458,S017,In-Store,1,296.72,0.1,267.05,160.55,106.5,2025,April
O00243,2025-02-14,C0480,P0849,S000,In-Store,2,111.61,0.2,178.58,66.13,46.32,2025,February
O00244,2024-07-04,C0026,P0314,S053,In-Store,2,144.23,0.1,259.61,82.64,94.33,2024,July
O00245,2024-06-27,C0585,P0880,Online,Online,2,166.53,0.2,266.45,97.2,72.05,2024,June
O00246,2025-07-14,C0659,P0805,S051,In-Store,1,290.78,0.2,232.62,171.72,60.9,2025,July
O00247,2025-01-01,C0651,P0799,Online,In-Store,2,61.07,0.2,97.71,55.27,-12.83,2025,January
O00248,2025-11-12,C0529,P0324,S006,In-Store,1,96.35,0.05,91.53,52.75,38.78,2025,November
O00249,2025-09-16,C0646,P1181,S053,In-Store,2,64.84,0.1,116.71,36.94,42.83,2025,September
O00250,2024-08-27,C0162,P0660,Online,Online,1,161.23,0.0,161.23,128.05,33.18,2024,August
O00251,2025-11-27,C0011,P0111,Online,Online,1,184.61,0.0,184.61,108.89,75.72,2025,November
O00252,2025-04-23,C0025,P0267,S040,In-Store,1,349.07,0.1,314.16,193.29,120.87,2025,April
O00253,2025-02-21,C0668,P0454,Online,Online,2,57.81,0.05,109.84,39.64,30.56,2025,February
O00254,2025-01-17,C0526,P0774,S042,In-Store,2,58.03,0.0,116.06,36.05,43.96,2025,January
O00255,2025-08-20,C0147,P0047,S037,In-Store,1,141.0,0.0,141.0,86.75,54.25,2025,August
O00256,2025-08-14,C0610,P0251,Online,Online,2,201.63,0.1,362.93,102.77,157.39,2025,August
O00257,2024-08-11,C0184,P0190,Online,Online,1,232.24,0.1,209.02,136.2,72.82,2024,August
O00258,2025-01-13,C0212,P0800,Online,Online,1,100.39,0.0,100.39,78.13,22.26,2025,January
